channelID,ChannelName,Genere
1,The Artistic A-Team,Art and Creativity
2,The Creative Cast,Art and Creativity
3,The Artistic Army,Art and Creativity
4,The Creative Crew,Art and Creativity
5,The Artistic All-Stars,Art and Creativity
6,The Creative Compound,Art and Creativity
7,The Artistic Association,Art and Creativity
8,The Creative Co-op,Art and Creativity
9,The Artistic Alliance,Art and Creativity
10,The Creative Class,Art and Creativity
11,The Artistic Aristocrats,Art and Creativity
12,The Creative Collective,Art and Creativity
13,The Artistic Agents,Art and Creativity
14,The Creative Company,Art and Creativity
15,The Artistic Adventurers,Art and Creativity
16,The Creative Crusade,Art and Creativity
17,The Auto Aficionados,Automotive and Transportation
18,The Transportation Titans,Automotive and Transportation
19,The Vehicle Venturers,Automotive and Transportation
20,The Motoring Mavericks,Automotive and Transportation
21,The Auto Aces,Automotive and Transportation
22,The Transportation Troopers,Automotive and Transportation
23,The Vehicle Ventures,Automotive and Transportation
24,The Motoring Magnates,Automotive and Transportation
25,The Auto Adventurers,Automotive and Transportation
26,The Vehicle Voyagers,Automotive and Transportation
27,The Transportation Troop,Automotive and Transportation
28,Beauty and Fashion,Beauty
29,The Beauty Brigade,Beauty
30,The Fashion Frontline,Beauty
31,The Beauty Box,Beauty
32,The Style Station,Beauty
33,The Fashion Fixer,Beauty
34,The Glam Guide,Beauty
35,The Beauty Buzz,Beauty
36,The Style Squad,Beauty
37,The Beauty Beat,Beauty
38,The Fashionista’s Guide,Beauty
39,The Fashion Fix,Beauty
40,The Style Studio,Beauty
41,The Fashion Feast,Beauty
42,The Lookbook Lane,Beauty
43,The Style Savvy,Beauty
44,The Fashion Frenzy,Beauty
45,The Glamour Gathering,Beauty
46,The Beauty Basics,Beauty
47,The Style Society,Beauty
48,The Fashion Finds,Beauty
49,The Trend Tracker,Beauty
50,The Style Sense,Beauty
51,The Glamour Guild,Beauty
52,The Chic Circle,Beauty
53,The Fashion Flair,Beauty
54,The Trendy Troop,Beauty
55,The Trendsetters,Beauty
56,The Fashion Flare,Beauty
57,The Beauty Bosses,Beauty
58,The Trend Toppers,Beauty
59,The Style Sensations,Beauty
60,The Glamour Globe,Beauty
61,The Fashion Forward,Beauty
62,The Look Book,Beauty
63,The Makeup Mavericks,Beauty
64,The Chic Chicks,Beauty
65,The Beauty Bazaar,Beauty
66,The Glam Squad,Beauty
67,The Cosmetic Crafters,Beauty
68,The Beauty Buffs,Beauty
69,Chic Streetwear,Beauty
70,The Beauty Boss,Beauty
71,Fashion Forecast,Beauty
72,Glam Life,Beauty
73,Beauty & Beyond,Beauty
74,Style Stalkers,Beauty
75,Makeup Magician,Beauty
76,Fashion Forward,Beauty
77,Beauty & Lifestyle,Beauty
78,Fashion Fix,Beauty
79,Chic Beauty,Beauty
80,Style Savvy,Beauty
81,Fashion Frenzy,Beauty
82,Beauty Bliss,Beauty
83,Trendsetters,Beauty
84,The Fashionable Few,Beauty
85,The Beauty Brigade,Beauty
86,The Trendy Troop,Beauty
87,The Style Squad,Beauty
88,The Fashion Force,Beauty
89,The Beauty Bosses,Beauty
90,The Trend Toppers,Beauty
91,The Style Sensations,Beauty
92,The Fashion Flare,Beauty
93,The Beauty Buzz,Beauty
94,The Trendsetters,Beauty
95,The Style Studio,Beauty
96,The Fashion Fixer,Beauty
97,The Jokesters Joint,Comedy and Humor
98,The Laughter League,Comedy and Humor
99,The Humor Hub,Comedy and Humor
100,The Chuckle Corner,Comedy and Humor
101,The Giggle Galaxy,Comedy and Humor
102,The Mirthful Milieu,Comedy and Humor
103,The Comical Chronic,Comedy and Humor
104,The Happy Hilarity,Comedy and Humor
105,The Lighthearted La,Comedy and Humor
106,The Joking Jamboree,Comedy and Humor
107,The Cheerful Chuckl,Comedy and Humor
108,The Grinning Gags,Comedy and Humor
109,The Joyful Jokes,Comedy and Humor
110,The Whimsical Wit,Comedy and Humor
111,The Lively Laught,Comedy and Humor
112,The Chuckle Squad,Comedy and Humor
113,The Giggle Gang,Comedy and Humor
114,The Joke Jockeys,Comedy and Humor
115,The Laughing Lions,Comedy and Humor
116,The Chuckle Champs,Comedy and Humor
117,The Giggle Gurus,Comedy and Humor
118,The Joke Junkies,Comedy and Humor
119,The Laughing Lege,Comedy and Humor
120,The Chuckle Crew,Comedy and Humor
121,The Giggle Geniuses,Comedy and Humor
122,The Joke Jokers,Comedy and Humor
123,The Laughing Luminaries,Comedy and Humor
124,The Chuckle Collective,Comedy and Humor
125,The Giggle Group,Comedy and Humor
126,The Joke Jamboree,Comedy and Humor
127,The Laughing League,Comedy and Humor
128,The Study Spot,Educational
129,The Knowledge Keep,Educational
130,The Learning Library,Educational
131,The Edu-Entertainment,Educational
132,The Brain Boost,Educational
133,The Skill-Building School,Educational
134,The Tutor’s Toolkit,Educational
135,The Classroom Chronicles,Educational
136,The Study Session,Educational
137,The Smart Studies,Educational
138,The Knowledge Keepers,Educational
139,The Learning League,Educational
140,The Brain Builders,Educational
141,The Edification Elite,Educational
142,The Skill Sharers,Educational
143,The Education Enthusiasts,Educational
144,The Brain Boosters,Educational
145,The Wisdom Warriors,Educational
146,The E-Learning Experts,Educational
147,The Learning Library,Educational
148,The Instruction Station,Educational
149,The Knowledge Hub,Educational
150,The Education Emporium,Educational
151,The Skill School,Educational
152,The Expert Exchange,Educational
153,The Tutorial Theater,Educational
154,The Training Temple,Educational
155,The Wisdom Well,Educational
156,The Academy Advantage,Educational
157,The Mentor’s Mindset,Educational
158,The Study Station,Educational
159,Frame World educational Hub,Educational & Tech
160,The Instructional Innings,Educational
161,The Brain Boost,Educational
162,Coursera,Educational & Tech
163,FlipKart,Shopping
164,Amazon,Shopping
165,Myntra,Shopping
166,Liou Vitton,Shopping
167,Zara,Shopping
